,date,announcement
1554,1995-07-05,"Loral Federal Systems, Manassas, Virginia, is being awarded a $7,294,061 modification to previously awarded contract N00019-91-C-0207 to design, develop, fabricate and deliver Phase II wafer lots. This x-ray technology will be used to produce microchips for use in various electronic Navy systems. Work will be performed in East Fishkill, New York (70%), and Manassas, Virginia (30%), and is expected to be completed by November 1995. Contract funds will not expire at the end of the current fiscal year. The Naval Air Systems Command, Washington, D.C., is the contracting activity. Alliant Techsystems, Inc., New Brighton, Minnesota, is being awarded a $6,561,555 firm-fixed-price contract for 2,500 first article quantity and 313,500 production quantity 25mm PGU-32/U semi-armor piercing high explosion incendiary-tracer (SAPHEI-T) cartridges. This contract contains options, which if exercised, will bring the total cumulative value of the contract to $17,900,451. Work will be performed in New Brighton, Minnesota (60%), Joliet, Illinois (30%), and Toone, Tennessee (10%), and is expected to be completed by December 1996. Contract funds in the amount of $6,561,555 will expire at the end of the current fiscal year. This contract was competitively procured by a request for proposals and two offers were received. The Naval Air Warfare Center, Weapons Division, China Lake, California, is the contracting activity (N68936-95-C-0037)."
1564,1995-07-05,"Loral Federal Systems, Manassas, Virginia, is being awarded a $7,294,061 modification to previously awarded contract N00019-91-C-0207 to design, develop, fabricate and deliver Phase II wafer lots. This x-ray technology will be used to produce microchips for use in various electronic Navy systems. Work will be performed in East Fishkill, New York (70%), and Manassas, Virginia (30%), and is expected to be completed by November 1995. Contract funds will not expire at the end of the current fiscal year. The Naval Air Systems Command, Washington, D.C., is the contracting activity. Alliant Techsystems, Inc., New Brighton, Minnesota, is being awarded a $6,561,555 firm-fixed-price contract for 2,500 first article quantity and 313,500 production quantity 25mm PGU-32/U semi-armor piercing high explosion incendiary-tracer (SAPHEI-T) cartridges. This contract contains options, which if exercised, will bring the total cumulative value of the contract to $17,900,451. Work will be performed in New Brighton, Minnesota (60%), Joliet, Illinois (30%), and Toone, Tennessee (10%), and is expected to be completed by December 1996. Contract funds in the amount of $6,561,555 will expire at the end of the current fiscal year. This contract was competitively procured by a request for proposals and two offers were received. The Naval Air Warfare Center, Weapons Division, China Lake, California, is the contracting activity (N68936-95-C-0037)."
1654,1995-07-24,"McDonnell Aircraft Corporation, McDonnell Douglas Aerospace, St. Louis, Missouri, is being awarded a $6,000,000 ceiling priced modification to previously awarded contract N00019-92-C-0057 for a flight test ground station in support of F/A-18C/D aircraft flight test operations. This contract is being procured by the government of Switzerland under the Foreign Military Sales Program (FMS). Work will be performed in St. Louis, Missouri, and is expected to be completed by December 1996. Contract funds will not expire at the end of the current fiscal year. The Naval Sea Systems Command, Washington, D.C. is the contracting activity. Metro Machine Corporation, Norfolk, Virginia, is being awarded a $13,216,133 (base-year) firm-fixed-price contract for the Regular Overhaul (ROH) of USS YORKTOWN (CG 48). Work will be performed in Norfolk, Virginia, and is expected to be completed by May 1996. This contract contains options, which if exercised, will bring the total cumulative value of the contract to $14,147,918. Contract funds in the amount of $11,124,700 will expire at the end of the current fiscal year. This contract was competitively procured with ten proposals solicited and three offers received. The Naval Sea Systems Command, Washington, D.C., is the contracting activity (N00024-92-H-8043)."
2362,1995-09-29,"Praxis International, Incorporated, Framingham, Massachusetts, is being awarded a firm fixed price (requirements) contract (appropriation number and dollar value will be issued with each delivery order) of $10,000,000 to provide Model 204 software maintenance and Model 204 Data Base Management System software for the Defense Intelligence Agency and Department of Defense Intelligence Information System and the U.S. Intelligence community. Work will be performed in Framingham, Massachusetts and is expected to be completed by September 30, 2000. This is a sole source contract initiated on February 22, 1995. The contracting activity is the Virginia Contracting Activity, Washington, D.C. (MDA908--95-D-1510)."
2484,1995-10-16,"TESCO, a joint venture comprised of DYN Corporation, Albuquerque, New Mexico; COMARCO, Anaheim, California; and Electronic Warfare Associates, Vienna, Virginia, is being awarded a $26,799,629 modification to a cost plus award fee contract for nonpersonal services in support of the operational and customer testing mission of the Test and Experimentation Command (TEXCOM). This support includes maintenance to government furnished equipment (such as existing test instrumentation systems, test support vehicles, and generators), and test operations and logistics support. Work will be performed at Fort Hood, Texas, and is expected to be completed by March 31, 1996. Contract is subject to availability of funds. There were 222 bids solicited on August 7, 1992, and three bids received. The contracting activity is the U.S. Army OPTEC Contracting Activity, Fort Hood, Texas (DATM01-92-C-0002)."
2486,1995-10-17,"Computer Sciences Corporation, Falls Church, Virginia, is being awarded an increment as part of a $9,900,000 cost plus award fee contract to plan, execute and report on tests and experiments in order to evaluate the effectiveness of various combat scenarios. The support contractor will perform the following functions: test/experimentation planning; field operations/ data collection; data reduction/analysis; engineering; fabrication, installation, removal and maintenance of test instrumentation equipment; instrumentation/administrative computer maintenance; and hardware/software systems engineering and analyses for instrumentation/ administrative computer systems acquisitions, upgrades or replacements. Services will be provided on a task assignment basis for a period of one year, October 1, 1995 through September 30, 1996. Work will be performed at the U.S. Army TEXCOM Experimentation Center, Fort Hunter Liggett, California, and is expected to be completed by September 30, 1996. Funding to be utilized on the contract will be subject to Congress enacting appropriations. This is a sole source contract initiated in August 1995. The contracting activity is the U.S. Army OPTEC Contracting Activity, Fort Hood, Texas (DATM01-95-C-0029)."
2926,1996-01-16,"SPARTA, Incorporated*, Laguna Hills, California, is being awarded an increment (appropriation number and dollar value will be issued with each delivery order) as part of an $8,061,561 (potential value of $21,342,106 over 5 years) indefinite delivery requirements/cost plus fixed fee contract for engineering and technical support services in support of integrated systems analysis. Work will be performed in Huntsville, Alabama, and is expected to be completed by December 29, 2000. There were 117 bids solicited on June 30, 1994, and 4 bids received. The contracting activity is the Virginia Contracting Activity, Washington, D.C. (MDA908-96-D-1501)."
3288,1996-03-08,"International Business Machines Corporation, Bethesda, Maryland, is being awarded a $5,825,000 firm fixed price contract for the purchase of three IBM central processing units and associated hardware, software, and services for the Defense Intelligence Agency. Work will be performed in Poughkeepsie, New York, and is expected to be completed by April 23, 1996. Contract funds will not expire at the end of the current fiscal year. This is a sole source contract initiated on October 1, 1995. The contracting activity is the Virginia Contracting Activity, Washington, D.C. (MDA908-96-M-3578)."
4060,1996-06-24,"The Johns Hopkins University/Applied Physics Laboratory, of Laurel, Maryland, is being awarded a $99.5 million cost-plus- fixed-fee contract for Technical and Engineering Services in support of the Ballistic Missile Defense Organization. Work will be performed at the Applied Physics Laboratory in Laurel, Maryland. The contract has a two-year base period and three one- year options. Fiscal year (FY) 1996 and FY 1997 Research Development Test and Evaluation funds will be used for the base period. This contract is being awarded on a sole source basis. The contracting activity is the Ballistic Missile Defense Organization, is the contracting activity HQ0006-96-D-0004."
4375,1996-08-12,"Maden Tech Consulting, Incorporated*, Arlington, Virginia, is being awarded a cost plus award fee\small business set-aside contract with an increment of $4,301,782 (subject to availability of funds) as part of a projected $17,464,272 (base plus 3 option years), to provide nonpersonal services in support of the information management services mission of the Test and Experimentation Command (TEXCOM), Fort Hood, Texas. This support includes network management, programming and analysis support, database and systems administration, customer support, audio/visual support, and government furnished property management. Work will be performed at Fort Hood, Texas, and is expected to be completed by September 30, 2000. There were 147 bids solicited on September 20, 1995, and 3 bids received. The contracting activity is the U.S. Army Operational Test & Evaluation Command Contracting Activity, Fort Hood, Texas (DATMO1- 96-C-0003)."
4630,1996-09-13,"Brown and Root Services Corporation, Houston, Texas, is being awarded a $7,836,331 face value increase to a cost plus award fee contract to provide for FY 1997 spaceport operation and maintenance at Cape Canaveral Air Station, Florida, including mission control operations, operation group support, and logistics. Contract is expected to be completed September 1997. Contract funds will not expire at the end of the current fiscal year. The 45 Space Wing, Patrick Air Force Base, Florida, is the contracting activity (F08650-95/C-0073, P0014). McDonnell Douglas Corporation, St. Louis, Missouri, is being awarded a $86,000,000 face value increase to a firm fixed price contract to provide for FY1997 Contractor Technical Support Directed Manning Personnel in support of operation and maintenance of the F-15S aircraft. Contract is expected to be completed December 1997. Contract funds will not expire at the end of the current fiscal year. Warner Robins Air Logistics Center, Robins Air Force Base, Georgia, is the contracting activity (F09603-94/C-0958, P000030)."
4722,1996-09-23,"TESCO, a joint venture headquarted in Reston, Virginia, and comprised of DYN Corporation, Albuquerque, New Mexico; COMARCO, Anaheim, California; and Electronic Warfare Associates, Vienna, Virginia was awarded on September 16, 1996, an increment as part of a $600,000 modification to a $89,681,431.93 cost plus fixed fee contract to provide nonpersonal services in support of the operational and customer testing mission of the Operational Test and Evaluation Command, (TEXCOM), Fort Bliss, Texas . This support includes maintenance to government furnished equipment (such as existing test instrumentation systems, test support vehicles, and generators), test operations, technical threat support and logistics support. Work will be performed at Fort Bliss, Texas, and is expected to be completed by March 31, 1997. Contract subject to availability of funds. This was a broad agency announcement in the Commerce Business Daily on August 7, 1992 and 3 bids were received. The contracting activity is the U.S. Army OPTEC Contracting Activity, Fort Hood , Texas (DATM01- 92-C-0002)."
5346,1996-12-12,"Alcatel Submarine Networks, Incorporated, Portland Ore., is being awarded an $8,884,914 firm-fixed-price contract to provide armored fiber optic replacement cable for the Fixed Distributed System of the Fixed Surveillance System Program. Work will be performed in Portland, Ore., and is expected to be completed by December 1997. Contract funds will not expire at the end of the current fiscal year. This contract was competitively procured electronically via the contracting activity's bulletin board system with two offers received. The Space and Naval Warfare Systems Command, Arlington, Va., is the contracting activity (N00039-97-C-0058)."
5394,1996-12-18,"TRW Systems Integration Group, Redondo Beach, Calif., is being awarded $11,893,478 (for base year through Sept. 30, 1999) as part of a cost plus fixed fee multi-year contract with a cumulative total of $20,465,343 (three years base plus two one- year options) for program management and development to provide upgraded versions of the Modernized Intelligence Data Base (MIDB). Work will be performed in Mountainview, Calif. (80%), Chantilly, Va. (15%), and Washington, D.C. (5%), and is expected to be completed by Sept. 30, 2001. Contract funds will not expire at the end of the current fiscal year. There were 80 bids solicited on Oct. 22, 1996, and two bids were received. The contracting activity is the Virginia Contracting Activity, Washington, D.C. (MDA908-97-C-0009)."
5525,1997-01-06,"installation at ports yet to be determined (40%), and is expected to be completed by January 1999. Contract funds will not expire at the end of the current fiscal year. This contract was competitively procured with 47 proposals solicited and three offers received. The Naval Command, Control and Ocean Surveillance Center RDT&E Division, San Diego, Calif., is the contracting activity (N66001-97-D-0026). Frontier Engineering, Incorporated, Stillwater, Okla., is being awarded an estimated $28,000,000 firm-fixed-price requirements contract to fulfill Navy requirements for Radar Distribution Systems (RADDS) and ancillary equipment. This equipment interfaces with all Navy radars and ship navigational sensors, converts these signals into a 64-bit RADDS digital data stream, and then distributes the data stream to as many as 32 displays throughout the ship. Work will be performed in Stillwater, Okla., and is expected to be completed by January 2000, and contract funds will not expire by the end of the current fiscal year. This contract was not competitively procured. The Naval Sea Systems Command, Arlington, Va., is the contracting activity (N00024-97-D-5223). Alliant Techsystems, Incorporated, Hopkins, Minn., is being awarded a $5,197,576 firm-fixed-price contract for the procurement of 2,500 first article quantity and 258,170 production quantity 25mm PGU-32/U Semi-Armor Piercing High Explosive Incendiary-Tracer (SAPHEI-T) cartridges. Work will be performed in New Brighton, Minn. (60%), Joliet, Ill. (30%), and Toone, Tenn. (10%), and is expected to be completed by April 1998. Contract funds in the amount of $5,197,576 would have expired at the end of the current fiscal year. This contract was competitively procured with 12 proposals solicited and two offers received. The Naval Air Warfare Center Weapons Division, China Lake, Calif., is the contracting activity (N68936-97-C-0068)."
5542,1997-01-10,"Ellora Software, Incorporated, Devens, Mass., is being awarded a $21,500,000 indefinite delivery/indefinite quantity, cost-plus-fixed-fee pricing contract for research and development in support of the Rapid Evolution and Deployment of Effective Pathogen Countermeasures. Work will be performed in Devens, Mass., and is expected to be completed by July 2000. Contract funds will not expire at the end of the current fiscal year. This contract was competitively procured through a Broad Agency Announcement, with 39 offers received. The Naval Command, Control and Ocean Surveillance Center RDT&E Division, San Diego, Calif., is the contracting activity (N66001-97-D-8503). STANDARD Missile Company, McLean, Va., is being awarded a $5,038,483 modification to previously awarded contract N00024-96- C-5336 for 30 STANDARD Missile-1 Block VIB modification kits. Work will be performed in McLean, Va. (32.3%), Tucson, Ariz. (57%), Scottsdale, Ariz. (6.7%), and Chattanooga, Tenn. (4%), and is expected to be completed by April 2000. Contract funds will not expire at the end of this fiscal year. The Naval Sea Systems Command, Arlington, Va., is the contracting activity. Central Gulf Lines, Incorporated, New Orleans, La., is being awarded a $12,452,749 time charter contract for the charter of the MV Green Ridge for use in propositioning of a fleet hospital for the U.S. Navy in the Indian Ocean at the island of Diego Garcia. The charter period is 17 months and expected to be completed by December 1998. This contract includes options which if exercised would bring the cumulative value of this contract to $31,691,927. This contract was competitively procured with 250 proposals solicited and five offers received. Contracts funds will not expire at the end of the current fiscal year. The Military Sealift Command, Washington, D.C., is the contracting activity (N00033-97-C-3002)."
5550,1997-01-13,"Contract funds will not expire at the end of the current fiscal year. This contract was competitively procured with 90 proposals solicited and three offers received. The Naval Command, Control and Ocean Surveillance Center RDT&E Division, San Diego, Calif., is the contracting activity (N66001-97-D-5026). Lockheed Martin Electro-Optical Systems, Incorporated, Pomona, Calif., is being awarded a $14,497,494 firm-fixed-price contract for the procurement of 376 Simulated Area Weapons Effect/Multiple Integrated Laser Engagement System II (SAWE/MILES II) devices for the U.S. Army. Work will be performed in Pomona, Calif. (80%), and La Mesa, Mexico (20%), and is expected to be completed by April 1998. Contract funds in the amount of $24,090 would have expired at the end of the current fiscal year. This contract was not competitively procured. The Naval Air Warfare Center Training Systems Division, Orlando, Fla., is the contracting activity (N61339-97-C-0010)."
5684,1997-02-07,"Newport News Shipbuilding, Newport News, Va., is being awarded a $41,027,025 modification to previously awarded contract N00024-95-C-2102 to exercise an option for procurement of engineering development and design studies effort related to current and future submarine platforms. Work will be performed in Newport News, Va., and is expected to be completed by February 1999. Contract funds will not expire at the end of the current fiscal year. The Naval Sea Systems Command, Arlington, Va., is the contracting activity. Correction: Contract N66604-97-D-0399 for Logicon Syscon, Inc., announced February 6, 1997 should have stated Naval Undersea Warfare Center Division, Newport, R.I., as the contracting activity."
5736,1997-02-20,"Pratt & Whitney, Government Engines and Space Propulsion, West Palm Beach, Fla., is being awarded a $29,321,000 modification to previously awarded contract N00019-97-C-0050 for Joint Strike Fighter (JSF) Engine Ground and Flight Demonstration Program. This modification will provide for preferred weapon system concept engine technology maturation studies. Work will be performed in West Palm Beach, Fla., and is expected to be completed by January 2001. Contract funds would not have expired at the end of the current fiscal year. The Naval Air Systems Command, Arlington, Va., is the contracting activity. TRW, Inc., Avionics Systems Division, Space & Electronics Group, San Diego, Calif., is being awarded a $7,500,000 cost-plus- fixed-fee contract for third and fourth quarter increments of fiscal year 1997 contractor logistics support for the Joint Tactical Unmanned Aerial Vehicle (JT-UAV) Hunter system. Work will be performed in Sierra Vista, Ariz. (95%), and San Diego, Calif. (5%), and is expected to be completed by September 1997. Contract funds will expire at the end of the current fiscal year. This contract was not competitively procured. The Naval Air Systems Command, Arlington, Va., is the contracting activity (N00019-96-C-0056). Newport News Shipbuilding, Newport News, Va., is being awarded a $69,913,236 modification to previously awarded contract N00024-96-C-2103 for accomplishment of the Extended Selected Restricted Availability (ESRA) to the USS ENTERPRISE (CVN 65) and its reactor plants. Work will be performed in Newport News R.I., and is expected to be completed by August 1997. Contract funds in the amount of $43,617,914 will expire at the end of the current fiscal year. The Naval Sea Systems Command, Arlington, Va., is the contracting activity."
6145,1997-04-30,"Sylvest Management Systems,* Landover, Md., is being awarded an indefinite delivery (requirements) contract (appropriation number and dollar value will be issued with each delivery order), with a cumulative total of $55,000,000, for Systems Acquisition and Support Services (SASS) Hardware II Information Technology (IT). Communications Components. Work will take place in Landover, Md., and is expected to be completed by April 30, 2002. There were 317 bids solicited on Dec. 6, 1996 and 20 bids received. The contracting activity is the Virginia Contracting Activity, Washington, D.C. (MDA908-97-D-0004)."
6146,1997-04-30,"Sysorex Information Systems *, Fairfax, Va., is being awarded an indefinite delivery (requirements) contract (appropriation number and dollar value will be issued with each delivery order), with a cumulative total of $55,000,000, for Systems Acquisition and Support Services (SASS) Hardware II Information Technology (IT). Communications Components. Work will take place in Fairfax, Va., and is expected to be completed by April 30, 2002. There were 317 bids solicited and 20 bids received. The contracting activity is the Virginia Contracting Activity, Washington, D.C. (MDA908-97-D-0005)."
6147,1997-04-30,"BTG, Incorporated, Fairfax, Va., is being awarded an indefinite delivery (requirements) contract (appropriation number and dollar value will be issued with each delivery order), with a cumulative total of $55,000,000, for Systems Acquisition and Support Services (SASS) Hardware II Information Technology (IT). Communications Components. Work will take place in Fairfax, Va., and is expected to be completed by April 30, 2002. There were 317 bids solicited on Dec. 6, 1996 and 20 bids received. The contracting activity is the Virginia Contracting Activity, Washington, D.C. (MDA908-97-D-0006)."
6148,1997-04-30,"Cordant. Incorporated , Reston, Va., is being awarded an indefinite delivery (requirements) contract (appropriation number and dollar value will be issued with each delivery order), with a cumulative total of $55,000,000, for Systems Acquisition and Support Services (SASS) Hardware II Information Technology (IT). Communications Components. Work will take place in Reston, Va., and is expected to be completed by April 30, 2002. There were 317 bids solicited on Dec. 6, 1996 and 20 bids received. The contracting activity is the Virginia Contracting Activity, Washington, D.C. (MDA908-97-D-0007)."
